Institute,Academic Program Name,quota,seat type,Gender,opening rank,closing rank
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",AI ,OPEN ,Gender-Neutral ,52937,64102
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",AI ,OPEN ,Female-only (including Supernumerary) ,66674,66674
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",AI ,OPEN (PwD) ,Gender-Neutral ,3118,3118
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",AI ,EWS ,Gender-Neutral ,11022,11605
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",AI ,OBC-NCL ,Gender-Neutral ,19816,21415
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",AI ,OBC-NCL ,Female-only (including Supernumerary) ,23136,23136
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",AI ,SC ,Gender-Neutral ,10096,10507
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",AI ,ST ,Gender-Neutral ,4623,4911
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",HS ,OPEN ,Gender-Neutral ,95999,123895
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",HS ,OPEN ,Female-only (including Supernumerary) ,91396,91396
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",HS ,EWS ,Gender-Neutral ,20730,22969
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",HS ,OBC-NCL ,Gender-Neutral ,51003,66345
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",HS ,OBC-NCL ,Female-only (including Supernumerary) ,87945,87945
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",HS ,SC ,Gender-Neutral ,15857,17612
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",HS ,SC ,Female-only (including Supernumerary) ,17430,17430
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology) ",HS ,ST ,Gender-Neutral ,5630,5951
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",AI ,OPEN ,Gender-Neutral ,17650,41353
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",AI ,OPEN ,Female-only (including Supernumerary) ,42252,42252
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",AI ,OPEN (PwD) ,Gender-Neutral ,1933,1933
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",AI ,EWS ,Gender-Neutral ,6676,7173
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",AI ,OBC-NCL ,Gender-Neutral ,12572,15992
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",AI ,OBC-NCL ,Female-only (including Supernumerary) ,16318,16318
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",AI ,SC ,Gender-Neutral ,8128,8650
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",AI ,ST ,Gender-Neutral ,948,3587
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",HS ,OPEN ,Gender-Neutral ,66008,80400
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",HS ,OPEN ,Female-only (including Supernumerary) ,55594,55594
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",HS ,OPEN (PwD) ,Gender-Neutral ,3505,3505
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",HS ,EWS ,Gender-Neutral ,14234,15781
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",HS ,OBC-NCL ,Gender-Neutral ,40817,46784
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",HS ,OBC-NCL ,Female-only (including Supernumerary) ,60194,60194
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",HS ,SC ,Gender-Neutral ,9784,13851
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",HS ,SC ,Female-only (including Supernumerary) ,16723,16723
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology) ",HS ,ST ,Gender-Neutral ,4280,4500
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",AI ,OPEN ,Gender-Neutral ,38897,49856
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",AI ,OPEN ,Female-only (including Supernumerary) ,50261,50261
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",AI ,OPEN (PwD) ,Gender-Neutral ,2549,2549
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",AI ,EWS ,Gender-Neutral ,8610,8962
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",AI ,OBC-NCL ,Gender-Neutral ,15004,18070
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",AI ,OBC-NCL ,Female-only (including Supernumerary) ,18603,18603
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",AI ,SC ,Gender-Neutral ,6885,8934
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",AI ,ST ,Gender-Neutral ,3662,4260
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,OPEN ,Gender-Neutral ,81577,95469
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,OPEN ,Female-only (including Supernumerary) ,89527,89527
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,EWS ,Gender-Neutral ,17124,17467
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,OBC-NCL ,Gender-Neutral ,47478,50534
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,OBC-NCL ,Female-only (including Supernumerary) ,66564,66564
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,SC ,Gender-Neutral ,14218,14909
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,SC ,Female-only (including Supernumerary) ,13976,13976
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology) ",HS ,ST ,Gender-Neutral ,4688,5484
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture) ",AI ,OPEN ,Gender-Neutral ,595,981
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture) ",AI ,EWS ,Gender-Neutral ,390,424
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture) ",AI ,OBC-NCL ,Gender-Neutral ,490,595
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture) ",AI ,SC ,Gender-Neutral ,303,316
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture) ",AI ,ST ,Gender-Neutral ,90,131
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture) ",HS ,OPEN ,Gender-Neutral ,1117,4347
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture) ",HS ,EWS ,Gender-Neutral ,804,896
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture) ",HS ,SC ,Gender-Neutral ,369,747
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture) ",HS ,ST ,Gender-Neutral ,168,421
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) ",AI ,OPEN ,Gender-Neutral ,14383,17535
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) ",AI ,OPEN ,Female-only (including Supernumerary) ,16597,24673
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) ",AI ,OPEN (PwD) ,Gender-Neutral ,447,447
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) ",AI ,EWS ,Gender-Neutral ,3012,3114
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) ",AI ,OBC-NCL ,Gender-Neutral ,5751,7930
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) ",AI ,OBC-NCL (PwD) ,Gender-Neutral ,563,563
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) ",AI ,SC ,Gender-Neutral ,3996,5237
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) ",AI ,ST ,Gender-Neutral ,2599,3167
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) ",HS ,OPEN ,Gender-Neutral ,29325,32251
